,x,ref_sensor,s57,s20,s05,s34,s22,s06,s31,s36,s35
192,0.0,22,-69.0,,-73.0,,-49.0,-67.0,-80.0,,
193,0.0,22,-43.0,,,-73.0,-45.0,-60.0,,-72.0,
194,0.0,22,-51.0,-71.0,-69.0,,-52.0,-64.0,-73.0,-83.0,-70.0
195,0.0,22,-67.0,,,,,,-74.0,,
196,0.0,22,-66.0,-61.0,-65.0,,-47.0,,,,-66.0
197,0.0,22,-52.0,,-74.0,,-47.0,-67.0,-85.0,-83.0,-88.0
198,0.0,22,-54.0,-62.0,-67.0,,-60.0,-67.0,-79.0,,-78.0
199,0.0,22,-51.0,-67.0,-79.0,,-52.0,-61.0,,,-80.0
200,0.0,22,-53.0,-65.0,-66.0,,-52.0,,-75.0,,-76.0
201,0.0,22,-40.0,-55.0,-71.0,-75.0,-56.0,-62.0,-74.0,-71.0,-81.0
202,0.0,22,,,,-79.0,,,,-68.0,
203,0.0,22,-62.0,,-73.0,,-56.0,,-80.0,,-79.0
204,0.0,22,-42.0,-42.0,-64.0,,-48.0,,-70.0,,-76.0
205,0.0,22,-55.0,-53.0,,,-45.0,-50.0,-73.0,,
206,0.0,22,-58.0,-67.0,-78.0,,-50.0,-64.0,-78.0,-76.0,-70.0
207,0.0,22,-44.0,,,,,-64.0,,,-75.0
208,0.0,22,-53.0,-63.0,-68.0,,-53.0,-60.0,-79.0,,-69.0
209,0.0,22,-58.0,-64.0,-68.0,,-63.0,,-79.0,,-75.0
210,0.0,22,,-63.0,-74.0,,-46.0,,-81.0,,-85.0
211,0.0,22,-53.0,-66.0,,,-56.0,-62.0,,,
212,0.0,22,-42.0,-53.0,-70.0,,-50.0,-57.0,-77.0,,-83.0
213,0.0,22,-40.0,-66.0,-78.0,-86.0,-37.0,-69.0,-74.0,,-87.0
214,0.0,22,-62.0,-62.0,-72.0,,-50.0,,-75.0,-71.0,-74.0
215,0.0,22,-52.0,-59.0,,,-49.0,,,,-73.0
216,0.0,22,-43.0,-52.0,-69.0,,-44.0,-59.0,-69.0,,-77.0
217,0.0,22,-46.0,-49.0,-67.0,,-41.0,-54.0,-71.0,-70.0,-65.0
218,0.0,22,-45.0,-56.0,-66.0,,-41.0,-59.0,-69.0,-72.0,-81.0
219,0.0,22,-51.0,-64.0,,,-51.0,,-75.0,-73.0,
220,0.0,22,,-63.0,-71.0,,,,-68.0,-74.0,-63.0
221,0.0,22,,,,,,,-79.0,-76.0,
222,0.0,22,-47.0,-64.0,-73.0,,-57.0,-62.0,-81.0,,-81.0
223,0.0,22,-57.0,-59.0,-69.0,,-51.0,-64.0,-73.0,-71.0,-70.0
224,0.0,22,,-56.0,-73.0,,-42.0,-63.0,-76.0,-73.0,-78.0
225,0.0,22,-55.0,-65.0,-81.0,,-54.0,-66.0,,-82.0,-85.0
226,0.0,22,-59.0,-66.0,-75.0,,-44.0,,,,-83.0
227,0.0,22,,-71.0,,,-38.0,-67.0,-80.0,,
228,0.0,22,-57.0,-67.0,-73.0,,-63.0,-66.0,,-77.0,-72.0
229,0.0,22,,-64.0,-72.0,,,-64.0,-74.0,,
230,0.0,22,,-71.0,,,-34.0,-66.0,,,
231,0.0,22,-54.0,-62.0,-68.0,,-47.0,,,,-73.0
232,0.0,22,-56.0,-50.0,-57.0,,-44.0,-45.0,-73.0,-66.0,-66.0
233,0.0,22,-53.0,-63.0,,,-39.0,-61.0,,,
234,0.0,22,-46.0,,-74.0,,,,,-77.0,-84.0
235,0.0,22,,-62.0,,,-45.0,-64.0,-78.0,-68.0,-78.0
236,0.0,22,-40.0,-60.0,-80.0,,-38.0,-67.0,-76.0,-79.0,-82.0
237,0.0,22,-58.0,-62.0,-75.0,,-41.0,-60.0,-80.0,-77.0,
238,0.0,22,,-66.0,,,-49.0,,-76.0,-71.0,
239,0.0,22,-50.0,-67.0,-71.0,,,,-75.0,-78.0,-72.0
240,0.0,22,-39.0,-54.0,-64.0,,-49.0,-57.0,,-73.0,
241,0.0,22,-52.0,-52.0,-61.0,-77.0,-49.0,-49.0,-72.0,-67.0,-62.0
242,0.0,22,-52.0,,,,,,-79.0,-74.0,
243,0.0,22,-64.0,,,,,-63.0,,,-76.0
244,0.0,22,-50.0,-52.0,,,-45.0,,-73.0,-70.0,
245,0.0,22,-44.0,-56.0,-77.0,,-46.0,-59.0,-71.0,-70.0,
246,0.0,22,-53.0,-63.0,-67.0,,-48.0,,-72.0,-78.0,-72.0
247,0.0,22,-58.0,-64.0,,,-68.0,-61.0,-77.0,,
248,0.0,22,-58.0,-46.0,-60.0,,-56.0,-57.0,-67.0,-67.0,-66.0
249,0.0,22,-51.0,-67.0,-68.0,,-46.0,-66.0,-76.0,-73.0,-76.0
250,0.0,22,-44.0,-54.0,-60.0,,-44.0,-61.0,-67.0,-67.0,
251,0.0,22,-51.0,,,-85.0,-42.0,-60.0,,,-82.0
252,0.0,22,-51.0,-49.0,-73.0,-85.0,-51.0,,-68.0,-66.0,-65.0
253,0.0,22,,-66.0,-62.0,,,,-73.0,-67.0,-70.0
254,0.0,22,-56.0,,,,,-68.0,-86.0,-78.0,-81.0
255,0.0,22,-38.0,-47.0,,,-49.0,-56.0,-70.0,-86.0,-83.0
256,0.0,22,-58.0,-65.0,-74.0,,-52.0,-62.0,-78.0,-82.0,-73.0
257,0.0,22,-52.0,-64.0,-70.0,,-34.0,,-83.0,,-84.0
258,0.0,22,-44.0,-65.0,,-74.0,-45.0,-57.0,-61.0,-69.0,-68.0
259,0.0,22,,,,,-39.0,-63.0,,,
260,0.0,22,-44.0,-60.0,-64.0,,-44.0,-57.0,,-70.0,-65.0
261,0.0,22,-55.0,-62.0,-79.0,,-40.0,-64.0,-84.0,-82.0,-84.0
262,0.0,22,,,,,-47.0,,,,
263,0.0,22,,-58.0,-79.0,,,,,-64.0,-66.0
264,0.0,22,,,,,-52.0,,,,-86.0
265,0.0,22,-51.0,-58.0,-71.0,,-52.0,-53.0,,,-66.0
266,0.0,22,-60.0,-60.0,-70.0,,-52.0,-68.0,,,-72.0
267,0.0,22,-45.0,,,-75.0,-52.0,-62.0,-73.0,-72.0,-70.0
268,0.0,22,-55.0,-63.0,-75.0,,-58.0,-68.0,-81.0,,-76.0
269,0.0,22,-52.0,-59.0,-62.0,,-47.0,-50.0,-65.0,-65.0,-68.0
270,0.0,22,,-62.0,,-74.0,-56.0,-52.0,,-62.0,-65.0
271,0.0,22,-53.0,-67.0,-73.0,,-31.0,-66.0,,-76.0,
272,0.0,22,,-69.0,-70.0,-84.0,-46.0,-67.0,-83.0,-83.0,-80.0
273,0.0,22,,,-73.0,,-52.0,,,,-71.0
274,0.0,22,,-65.0,-74.0,-82.0,,-52.0,-69.0,-71.0,-63.0
275,0.0,22,-54.0,-61.0,-81.0,,-39.0,-63.0,-80.0,-82.0,-88.0
276,0.0,22,-46.0,-56.0,,-80.0,-49.0,,-65.0,,-66.0
277,0.0,22,-50.0,-70.0,,,-54.0,-65.0,,,
278,0.0,22,-60.0,-67.0,,,-49.0,-74.0,,,-79.0
279,0.0,22,,-51.0,-67.0,,-43.0,-58.0,-71.0,-70.0,-81.0
280,0.0,22,-57.0,-71.0,-70.0,,-48.0,,-79.0,-72.0,
281,0.0,22,,-67.0,,,-49.0,,,,-72.0
282,0.0,22,,-69.0,,,-37.0,-62.0,-84.0,,-83.0
283,0.0,22,,-54.0,-60.0,,-55.0,-53.0,-75.0,-70.0,
284,0.0,22,-50.0,,,,,-63.0,,-76.0,-81.0
285,0.0,22,,-64.0,,-75.0,-45.0,,,,
286,0.0,22,,,,,,-51.0,,,
287,0.0,22,,-61.0,,,-58.0,-61.0,-77.0,,-81.0
288,0.0,22,-46.0,,-63.0,-83.0,-42.0,-54.0,-71.0,,-73.0
289,0.0,22,-43.0,,,,-52.0,,-89.0,,
290,0.0,22,-60.0,-69.0,,,-59.0,-60.0,,,-69.0
291,0.0,22,-49.0,-61.0,-58.0,-83.0,-52.0,-52.0,-71.0,-63.0,-68.0
292,0.0,22,-45.0,-61.0,-65.0,,,-59.0,-71.0,-70.0,-63.0
293,0.0,22,-59.0,-66.0,,,-50.0,,,,-79.0
294,0.0,22,,,,,-39.0,,,,-79.0
295,0.0,22,,,-66.0,,,,-75.0,-79.0,
296,0.0,22,,,,,-46.0,,,,
297,0.0,22,-46.0,-49.0,-62.0,-72.0,-56.0,-55.0,-71.0,-70.0,-67.0
298,0.0,22,-49.0,-63.0,,-72.0,-56.0,,,,-67.0
299,0.0,22,,-64.0,,,,-70.0,,,
300,0.0,22,-43.0,-64.0,-79.0,,-62.0,-67.0,,,-79.0
301,0.0,22,,,-59.0,,-52.0,,-72.0,-69.0,-68.0
302,0.0,22,,,,,-57.0,,-74.0,-80.0,-77.0
303,0.0,22,-52.0,-67.0,-69.0,,-52.0,-63.0,,-76.0,-78.0
304,0.0,22,-53.0,,,,-52.0,-65.0,,,
305,0.0,22,,-61.0,-59.0,,-52.0,-57.0,-67.0,,-69.0
306,0.0,22,,,,,-49.0,-71.0,,-75.0,
307,0.0,22,,-69.0,-78.0,,,-59.0,,,-85.0
308,0.0,22,-53.0,,-65.0,,-56.0,,-80.0,-76.0,-76.0
309,0.0,22,,-67.0,-74.0,,,,-74.0,-79.0,-75.0
310,0.0,22,-50.0,,-75.0,,-44.0,,-75.0,-79.0,-73.0
311,0.0,22,-56.0,-56.0,,,-58.0,-68.0,,-72.0,-73.0
312,0.0,22,-38.0,-59.0,-76.0,-85.0,-37.0,-63.0,-77.0,,-83.0
313,0.0,22,-45.0,-59.0,-74.0,,-48.0,-56.0,-66.0,-64.0,-65.0
314,0.0,22,-35.0,-51.0,-71.0,,-40.0,-68.0,-74.0,,-80.0
315,0.0,22,-59.0,,-73.0,,-44.0,-62.0,,-74.0,-71.0
316,0.0,22,-42.0,,,,-44.0,,,,
317,0.0,22,-33.0,,,,,,-76.0,-80.0,
318,0.0,22,-39.0,-47.0,-67.0,,-44.0,-52.0,,-71.0,-78.0
319,0.0,22,-40.0,,-69.0,-78.0,-50.0,-61.0,-76.0,-73.0,-79.0
320,0.0,22,,-64.0,,,-59.0,,-79.0,,
321,0.0,22,-41.0,-56.0,-70.0,,-51.0,-52.0,-67.0,-69.0,-65.0
322,0.0,22,,-65.0,,,-49.0,-61.0,,,
323,0.0,22,-38.0,-64.0,-84.0,,-35.0,-68.0,-81.0,-80.0,-83.0
324,0.0,22,-53.0,-63.0,-68.0,,-50.0,-64.0,-77.0,-77.0,-73.0
325,0.0,22,-38.0,-52.0,-65.0,,-44.0,-53.0,-66.0,-72.0,-71.0
326,0.0,22,-51.0,-64.0,,,-61.0,-58.0,-73.0,,
327,0.0,22,-51.0,-61.0,-70.0,,-50.0,-65.0,-71.0,-79.0,-79.0
328,0.0,22,,,-63.0,,,,-60.0,,-68.0
329,0.0,22,-39.0,-47.0,,-82.0,,-53.0,-74.0,,-67.0
330,0.0,22,-58.0,-64.0,-69.0,,-52.0,-54.0,-70.0,-65.0,-63.0
331,0.0,22,-45.0,-56.0,,-76.0,-49.0,-65.0,-73.0,-65.0,
332,0.0,22,-52.0,,,,-44.0,,,,
333,0.0,22,,,,,-64.0,,,,-68.0
334,0.0,22,-51.0,-61.0,,,-49.0,-56.0,-71.0,,
335,0.0,22,-52.0,-86.0,,,-47.0,-53.0,,-74.0,
