tx_coord,receiver_0,receiver_1,receiver_2,receiver_3,receiver_4,receiver_5,receiver_6,receiver_7,receiver_8,class_label
"(3, 126)",-82.0,,-61.0,-56.0,-82.0,-81.0,-75.0,,-62.0,636
"(3, 126)",,-74.0,-62.0,-42.0,,,-78.0,-57.0,-62.0,636
"(3, 126)",-69.0,-74.0,-51.0,-66.0,,-78.0,-66.0,-58.0,-59.0,636
"(3, 126)",-75.0,-70.0,-63.0,,-79.0,-84.0,-73.0,-62.0,-51.0,636
"(3, 126)",,-73.0,-56.0,-45.0,,,-70.0,-56.0,-56.0,636
"(3, 126)",-71.0,-65.0,-52.0,-66.0,-66.0,,-72.0,-60.0,-55.0,636
"(3, 126)",-83.0,-78.0,-61.0,-52.0,,-81.0,-75.0,-74.0,-58.0,636
"(3, 126)",,,,-46.0,,,,,-57.0,636
"(3, 126)",,,-67.0,-50.0,,,,,-54.0,636
"(3, 126)",-67.0,-66.0,-52.0,,-77.0,-73.0,-71.0,-65.0,-56.0,636
"(3, 126)",-73.0,-58.0,-56.0,-67.0,-70.0,-75.0,-70.0,,-58.0,636
"(3, 126)",,-69.0,-59.0,-43.0,-76.0,-80.0,,,,636
"(3, 126)",,,-49.0,-49.0,-75.0,-75.0,-71.0,-57.0,-57.0,636
"(3, 126)",-75.0,-63.0,,-64.0,-77.0,-77.0,-63.0,-64.0,,636
"(3, 126)",,,-65.0,,-75.0,,-75.0,-70.0,-63.0,636
"(3, 126)",,-70.0,,,,,-76.0,-68.0,,636
"(3, 126)",-78.0,-68.0,-61.0,-41.0,,-83.0,,,-52.0,636
"(3, 126)",,-69.0,,-66.0,-78.0,,,,,636
"(3, 126)",,,,-47.0,,,-71.0,,-66.0,636
"(3, 126)",,,-61.0,-55.0,-77.0,-82.0,-74.0,-73.0,-57.0,636
"(3, 126)",-81.0,-70.0,,,-86.0,,,,-60.0,636
"(3, 126)",-71.0,-60.0,,-60.0,-77.0,,-65.0,-68.0,-44.0,636
"(3, 126)",-79.0,-71.0,-65.0,-49.0,-78.0,,,-68.0,-57.0,636
"(3, 126)",,,-61.0,-47.0,,,-71.0,-68.0,,636
"(3, 126)",-77.0,-72.0,-57.0,-42.0,,-85.0,-72.0,-63.0,-58.0,636
"(3, 126)",-75.0,-82.0,-56.0,-43.0,,-81.0,-75.0,-70.0,-56.0,636
"(3, 126)",,,,-49.0,,,,,-61.0,636
"(3, 126)",-71.0,-62.0,-53.0,-64.0,-69.0,-72.0,,,-56.0,636
"(3, 126)",-78.0,-67.0,-54.0,-60.0,-76.0,-78.0,-65.0,-60.0,-47.0,636
"(3, 126)",,-69.0,-57.0,-71.0,,-73.0,-65.0,,-49.0,636
"(3, 126)",,-66.0,-65.0,-52.0,-81.0,,,-71.0,-54.0,636
"(3, 126)",,-71.0,-56.0,-68.0,-71.0,-72.0,,,-59.0,636
"(3, 126)",-76.0,-74.0,-55.0,,-84.0,-86.0,,-60.0,-48.0,636
"(3, 126)",,,-65.0,,-87.0,,-68.0,-60.0,-57.0,636
"(3, 126)",-71.0,-68.0,-55.0,,-68.0,-73.0,-67.0,-65.0,-53.0,636
"(3, 126)",-64.0,-65.0,-51.0,-68.0,-79.0,-73.0,-72.0,-63.0,-52.0,636
"(3, 126)",,-79.0,,-42.0,-88.0,,-72.0,,,636
"(3, 126)",,-77.0,,,-82.0,,,-74.0,,636
"(3, 126)",-76.0,-68.0,-56.0,,-82.0,,-74.0,,-53.0,636
"(3, 126)",,,-60.0,-47.0,,,-73.0,-63.0,-58.0,636
"(3, 126)",-80.0,-68.0,,,,,,-58.0,-53.0,636
"(3, 126)",-67.0,-64.0,-52.0,-68.0,,-70.0,,-63.0,-55.0,636
"(3, 126)",,-69.0,-63.0,-43.0,-80.0,,-75.0,-59.0,-61.0,636
"(3, 126)",-81.0,-68.0,-53.0,-58.0,,,-67.0,-58.0,-54.0,636
"(3, 126)",-72.0,-62.0,-54.0,-73.0,-71.0,-74.0,-69.0,-62.0,-60.0,636
"(3, 126)",-67.0,-67.0,,-63.0,-77.0,,,,-51.0,636
"(3, 126)",-80.0,,-56.0,,-80.0,-81.0,-71.0,-53.0,-54.0,636
"(3, 126)",-74.0,-66.0,-55.0,-69.0,-73.0,-78.0,-62.0,-58.0,-48.0,636
"(3, 126)",-71.0,,,,-80.0,-79.0,-67.0,-68.0,-45.0,636
"(3, 126)",-74.0,-76.0,,-44.0,,,,-66.0,,636
"(3, 126)",-76.0,-59.0,-54.0,-63.0,,-73.0,,-61.0,-59.0,636
"(3, 126)",-66.0,,,,,,,,-52.0,636
"(3, 126)",,-65.0,-51.0,,,,-72.0,-57.0,-52.0,636
"(3, 126)",,,,-44.0,,,-79.0,-61.0,-60.0,636
"(3, 126)",-78.0,,-71.0,-44.0,,,-73.0,-65.0,-59.0,636
"(3, 126)",,-65.0,-58.0,-39.0,,,-72.0,-67.0,-54.0,636
"(3, 126)",-83.0,-66.0,-60.0,,-87.0,,,-67.0,,636
"(3, 126)",-79.0,-72.0,-59.0,-44.0,-79.0,-85.0,-74.0,-69.0,-63.0,636
"(3, 126)",,-75.0,-62.0,-44.0,,,-75.0,-69.0,-62.0,636
"(3, 126)",,,-55.0,-63.0,,,-71.0,-61.0,-47.0,636
"(3, 126)",-79.0,,-63.0,-54.0,-78.0,-84.0,,-71.0,-62.0,636
"(3, 126)",-77.0,,,-40.0,-84.0,,-74.0,,-49.0,636
"(3, 126)",-81.0,-68.0,-61.0,-52.0,-78.0,,-74.0,-71.0,-56.0,636
"(3, 126)",-78.0,,,-41.0,,-81.0,,,,636
"(3, 126)",,,-50.0,-63.0,,-70.0,-75.0,,-57.0,636
"(3, 126)",,-67.0,-50.0,-59.0,,-71.0,-69.0,-64.0,-57.0,636
"(3, 126)",-77.0,-67.0,,-65.0,-73.0,,,-70.0,,636
"(3, 126)",,,-66.0,-48.0,,,,-76.0,-63.0,636
"(3, 126)",-72.0,-73.0,-57.0,,,,-76.0,,,636
"(3, 126)",-74.0,,,-45.0,,,-80.0,-72.0,-59.0,636
"(3, 126)",-76.0,-61.0,-53.0,,-67.0,-71.0,-76.0,,-58.0,636
"(3, 126)",,-77.0,,,,,-76.0,-71.0,-59.0,636
"(3, 126)",-74.0,-72.0,,,-77.0,,,-75.0,-55.0,636
"(3, 126)",,,,-48.0,,,,,,636
"(3, 126)",,-70.0,-60.0,-50.0,,,-81.0,-72.0,-57.0,636
"(3, 126)",,-68.0,-53.0,-72.0,,,-75.0,,-52.0,636
"(3, 126)",-66.0,-58.0,-56.0,-65.0,-69.0,,-65.0,,-47.0,636
"(3, 126)",-81.0,,-65.0,-49.0,-82.0,-89.0,-75.0,,-53.0,636
"(3, 126)",,-67.0,-63.0,-45.0,,,,-68.0,-51.0,636
"(3, 126)",,,-65.0,-47.0,,,-75.0,,-58.0,636
"(3, 126)",-71.0,-74.0,-60.0,-51.0,-77.0,,,,-57.0,636
"(3, 126)",-68.0,-62.0,-53.0,-64.0,-67.0,,,,-55.0,636
"(3, 126)",-78.0,-78.0,-56.0,-46.0,,,-72.0,-77.0,-57.0,636
"(3, 126)",-76.0,-70.0,-56.0,-43.0,-75.0,-84.0,-75.0,-61.0,-58.0,636
"(3, 126)",-72.0,,-58.0,-56.0,-79.0,-81.0,-67.0,,-49.0,636
"(3, 126)",,-68.0,-50.0,-71.0,,,-69.0,-59.0,-65.0,636
"(3, 126)",,,-54.0,-49.0,,,-67.0,-54.0,-55.0,636
"(3, 126)",-74.0,-68.0,,-63.0,-81.0,-84.0,,-50.0,-51.0,636
"(3, 126)",,-79.0,-59.0,-45.0,,-84.0,-75.0,-73.0,-57.0,636
"(3, 126)",,,-58.0,,,,-72.0,-66.0,,636
"(3, 126)",,-53.0,-52.0,-62.0,-65.0,,-69.0,-69.0,-52.0,636
"(3, 126)",-74.0,,-60.0,-45.0,,,,-68.0,-66.0,636
"(3, 126)",,-62.0,-51.0,,,-73.0,-75.0,-62.0,,636
"(3, 126)",-72.0,-65.0,,-71.0,-67.0,,-71.0,-61.0,-49.0,636
"(3, 126)",,-70.0,-53.0,-44.0,-79.0,,-70.0,-66.0,-57.0,636
"(3, 126)",-78.0,-72.0,-62.0,-43.0,-87.0,-86.0,-80.0,-58.0,-61.0,636
"(3, 126)",,-55.0,-52.0,-61.0,,,-64.0,,-69.0,636
"(3, 126)",,-68.0,-55.0,-53.0,,,-65.0,-55.0,-57.0,636
"(3, 126)",,-68.0,-61.0,,-76.0,,-80.0,,-58.0,636
"(3, 126)",-79.0,-75.0,-62.0,-47.0,-80.0,,-76.0,-75.0,-55.0,636
"(3, 126)",-70.0,,-56.0,-66.0,-76.0,-76.0,,-62.0,-52.0,636
"(3, 126)",,,-61.0,-51.0,-79.0,,-71.0,-64.0,-56.0,636
"(3, 126)",-75.0,-67.0,-67.0,-50.0,,,,-74.0,-63.0,636
"(3, 126)",,,-62.0,-46.0,,,-74.0,-64.0,,636
"(3, 126)",,-67.0,-60.0,-52.0,,,,-70.0,-65.0,636
"(3, 126)",,-67.0,,,-66.0,-72.0,-77.0,,-57.0,636
"(3, 126)",,-69.0,-58.0,,,,-74.0,-57.0,-50.0,636
"(3, 126)",,,,-44.0,,,,,-60.0,636
"(3, 126)",,,-55.0,-65.0,-68.0,,-65.0,-60.0,-49.0,636
"(3, 126)",-69.0,-59.0,-47.0,-59.0,-74.0,-78.0,-66.0,-66.0,-46.0,636
"(3, 126)",,-69.0,-60.0,-53.0,,,-72.0,-76.0,-54.0,636
"(3, 126)",-76.0,-76.0,-50.0,-70.0,-73.0,-70.0,-68.0,-64.0,-54.0,636
"(3, 126)",-77.0,-69.0,-60.0,-52.0,-76.0,,-67.0,,-57.0,636
"(3, 126)",-81.0,-66.0,-61.0,-38.0,,,,-70.0,,636
"(3, 126)",-77.0,-60.0,-50.0,-70.0,-70.0,-73.0,-67.0,-61.0,-57.0,636
"(3, 126)",-68.0,,,,-75.0,,,,,636
"(3, 126)",-79.0,-71.0,,,-94.0,-86.0,-72.0,,,636
"(3, 126)",,-73.0,,,,,-68.0,-57.0,,636
"(3, 126)",-73.0,-59.0,-50.0,,-75.0,,,-69.0,-47.0,636
"(3, 126)",-78.0,,,-51.0,,,-75.0,-73.0,,636
"(3, 126)",-73.0,-60.0,-54.0,-75.0,-67.0,-72.0,,-71.0,-58.0,636
"(3, 126)",,,,-46.0,,,,,-57.0,636
"(3, 126)",,-80.0,,,,,-71.0,-63.0,,636
"(3, 126)",-66.0,-58.0,-47.0,-66.0,-73.0,-81.0,-69.0,,,636
"(3, 126)",-80.0,-64.0,-47.0,-69.0,-74.0,-73.0,-76.0,-72.0,-56.0,636
"(3, 126)",-77.0,-74.0,,-46.0,,-87.0,,,,636
"(3, 126)",,,-64.0,,-83.0,,-74.0,-66.0,-64.0,636
"(3, 126)",-68.0,-60.0,-46.0,-64.0,-74.0,-78.0,-65.0,-61.0,-48.0,636
"(3, 126)",-73.0,-78.0,-68.0,-45.0,-84.0,-76.0,-80.0,-71.0,-53.0,636
"(3, 126)",,-68.0,-64.0,-44.0,,,-73.0,,-62.0,636
"(3, 126)",-71.0,-66.0,,,-81.0,,-63.0,,-51.0,636
"(3, 126)",,,-60.0,-54.0,,,-74.0,-74.0,-53.0,636
"(3, 126)",-73.0,,,-65.0,-68.0,-74.0,,,-58.0,636
"(3, 126)",,-72.0,-54.0,-67.0,,,-65.0,-70.0,-55.0,636
"(3, 126)",,-68.0,,,,,-80.0,-69.0,-53.0,636
"(3, 126)",-68.0,,,-64.0,-76.0,,,-65.0,,636
"(3, 126)",,,-64.0,,,,-77.0,-73.0,-53.0,636
"(3, 126)",-74.0,-65.0,-63.0,,-83.0,-81.0,-69.0,-51.0,-52.0,636
"(3, 126)",,-68.0,-58.0,-41.0,,-82.0,-76.0,-56.0,-51.0,636
"(3, 126)",-77.0,,-61.0,-43.0,,,,-61.0,-60.0,636
"(3, 126)",-77.0,,-58.0,-46.0,,,-73.0,-64.0,-60.0,636
"(3, 126)",-77.0,,-63.0,-53.0,-78.0,-84.0,-71.0,,-64.0,636
"(3, 126)",,-73.0,,,,,-73.0,-69.0,,636
"(3, 126)",,-69.0,-53.0,-53.0,-80.0,-81.0,-67.0,-56.0,-56.0,636
"(3, 126)",-73.0,-72.0,-59.0,-49.0,-81.0,-87.0,-77.0,-72.0,-61.0,636
"(3, 126)",,-68.0,-59.0,-40.0,,,-77.0,-56.0,-52.0,636
"(3, 126)",-77.0,-67.0,,-47.0,,,,-67.0,-64.0,636
"(3, 126)",-71.0,-70.0,-49.0,-67.0,-79.0,-77.0,-68.0,-59.0,-62.0,636
"(3, 126)",,,,-46.0,,,,-67.0,-57.0,636
"(3, 126)",-77.0,,,-39.0,,,-78.0,-59.0,,636
"(3, 126)",-75.0,,,-66.0,-73.0,-69.0,-70.0,-72.0,-61.0,636
"(3, 126)",,-72.0,-62.0,-45.0,,-88.0,-74.0,,-57.0,636
"(3, 126)",,,,-46.0,-81.0,,,,,636
"(3, 126)",-70.0,-62.0,-50.0,-60.0,-70.0,-71.0,-73.0,-58.0,-56.0,636
"(3, 126)",-68.0,-65.0,-62.0,-63.0,-76.0,,-65.0,-68.0,-49.0,636
"(3, 126)",,,,,-78.0,-77.0,-69.0,,-59.0,636
"(3, 126)",-74.0,-64.0,-54.0,-75.0,-65.0,-72.0,-69.0,-62.0,-52.0,636
"(3, 126)",,,,,-78.0,,-72.0,-66.0,-53.0,636
"(3, 126)",-72.0,,,-53.0,,-75.0,-72.0,-58.0,,636
"(3, 126)",,,,-65.0,,,,,-52.0,636
"(3, 126)",-73.0,,-49.0,-54.0,-74.0,,-71.0,-58.0,-59.0,636
"(3, 126)",,,,-47.0,,,,,,636
"(3, 126)",-81.0,-74.0,-65.0,-41.0,-88.0,-87.0,-74.0,-66.0,-55.0,636
"(3, 126)",,-64.0,-50.0,-53.0,,,-72.0,-57.0,-58.0,636
"(3, 126)",,-67.0,-60.0,-55.0,,-76.0,-84.0,-73.0,-62.0,636
"(3, 126)",-76.0,,-60.0,-44.0,,,-76.0,-59.0,-59.0,636
"(3, 126)",,,-53.0,-44.0,,,-72.0,-68.0,-58.0,636
"(3, 126)",,,,-53.0,,-81.0,,,-55.0,636
"(3, 126)",-80.0,,-62.0,-46.0,-82.0,,-75.0,-64.0,,636
"(3, 126)",-68.0,-65.0,-51.0,-58.0,-74.0,,-66.0,,-44.0,636
"(3, 126)",,,,,-74.0,,,,-50.0,636
"(3, 126)",-79.0,,-66.0,-47.0,,-81.0,-75.0,-60.0,-53.0,636
"(3, 126)",-67.0,-71.0,-53.0,-70.0,-74.0,,-72.0,,-52.0,636
"(3, 126)",-81.0,-73.0,-60.0,-45.0,-77.0,-76.0,-71.0,,-53.0,636
"(3, 126)",-69.0,-62.0,-49.0,-67.0,-76.0,-79.0,-73.0,-69.0,-55.0,636
"(3, 126)",-71.0,-54.0,-45.0,-65.0,-72.0,-77.0,-71.0,-67.0,-49.0,636
"(3, 126)",-80.0,-75.0,-62.0,,,,-76.0,,-48.0,636
"(3, 126)",-79.0,-74.0,-61.0,-49.0,,,-79.0,,,636
"(3, 126)",,-79.0,-63.0,-50.0,-84.0,-86.0,,-70.0,-52.0,636
"(3, 126)",,,,-50.0,,,,,,636
"(3, 126)",-78.0,-58.0,-60.0,-56.0,-68.0,,-67.0,-63.0,-50.0,636
"(3, 126)",,-75.0,-57.0,-41.0,-90.0,-84.0,-81.0,-59.0,-47.0,636
"(3, 126)",-80.0,-70.0,,-45.0,,-77.0,-73.0,-76.0,-54.0,636
"(3, 126)",-83.0,-73.0,-60.0,,,,-73.0,,-49.0,636
"(3, 126)",-71.0,-70.0,-47.0,-65.0,-74.0,,-72.0,-53.0,,636
"(3, 126)",,-67.0,-64.0,,,-86.0,-78.0,,-58.0,636
"(3, 126)",-79.0,-65.0,-57.0,-63.0,-83.0,-79.0,-73.0,-70.0,-56.0,636
"(3, 126)",,,-66.0,-48.0,,,-75.0,,-55.0,636
"(3, 126)",-66.0,-62.0,-51.0,-63.0,-74.0,-72.0,-67.0,-60.0,-48.0,636
"(3, 126)",,,-62.0,-38.0,,,,-61.0,-48.0,636
"(3, 126)",,,,-41.0,,,,-68.0,-54.0,636
"(3, 126)",,,,,,,,,,636
"(3, 126)",-79.0,-75.0,-66.0,-48.0,,-85.0,-72.0,-74.0,-51.0,636
"(3, 126)",-67.0,-70.0,-55.0,-58.0,-74.0,-75.0,-69.0,-55.0,-50.0,636
"(3, 126)",-68.0,-59.0,,-65.0,-79.0,-77.0,-68.0,-71.0,-46.0,636
"(3, 126)",,-58.0,,,,-71.0,,,-54.0,636
"(3, 126)",-84.0,-70.0,-58.0,-45.0,-79.0,-76.0,-75.0,-68.0,-54.0,636
"(3, 126)",-72.0,-57.0,-47.0,-70.0,-75.0,-77.0,-73.0,-69.0,-47.0,636
"(3, 126)",,-72.0,-66.0,-48.0,-85.0,,-76.0,-62.0,-56.0,636
"(3, 126)",-79.0,,,-47.0,-87.0,-86.0,,,-50.0,636
"(3, 126)",,-68.0,-66.0,-47.0,-75.0,,-73.0,-71.0,,636
"(3, 126)",,,-61.0,-47.0,,,-74.0,-67.0,-52.0,636
"(3, 126)",,,-61.0,-45.0,,,,-71.0,-55.0,636
"(3, 126)",-78.0,,-61.0,-49.0,-85.0,,-76.0,-60.0,-55.0,636
"(3, 126)",,,,,,,,,-56.0,636
"(3, 126)",,-76.0,-63.0,-47.0,,,,,-52.0,636
"(3, 126)",-66.0,,,,-69.0,,-73.0,-69.0,,636
"(3, 126)",-85.0,-76.0,-60.0,-46.0,,-85.0,-78.0,,-50.0,636
"(3, 126)",,-61.0,-56.0,-51.0,-69.0,,-69.0,-64.0,-49.0,636
"(3, 126)",,,-60.0,-48.0,,,,,-60.0,636
"(3, 126)",,,-59.0,-40.0,-77.0,,-73.0,-55.0,-49.0,636
"(3, 126)",-75.0,-71.0,-53.0,-66.0,-77.0,,-70.0,-65.0,-48.0,636
"(3, 126)",,-73.0,-54.0,-41.0,,,-77.0,-65.0,-43.0,636
"(3, 126)",-69.0,-67.0,-47.0,,,-75.0,-70.0,-56.0,-51.0,636
"(3, 126)",,-79.0,,,,,-77.0,,-48.0,636
"(3, 126)",,,-61.0,-47.0,,,,,-46.0,636
"(3, 126)",,-67.0,-56.0,-44.0,-75.0,,-67.0,-60.0,-50.0,636
"(3, 126)",,,,,-75.0,,,,-45.0,636
"(3, 126)",-68.0,-59.0,-48.0,-65.0,-76.0,-76.0,-66.0,-72.0,-44.0,636
"(3, 126)",-72.0,-65.0,-49.0,-63.0,-74.0,-74.0,-74.0,-68.0,-59.0,636
"(3, 126)",,-76.0,-69.0,-44.0,,,-71.0,-65.0,,636
"(3, 126)",,,,,,,,,-42.0,636
"(3, 126)",-76.0,-74.0,-60.0,-46.0,-83.0,-76.0,,-71.0,-54.0,636
"(3, 126)",-71.0,-71.0,-59.0,-66.0,,,,,-42.0,636
"(3, 126)",,-76.0,-61.0,-46.0,,,-75.0,-70.0,-47.0,636
"(3, 126)",-69.0,,-53.0,-65.0,-74.0,,-71.0,,-53.0,636
"(3, 126)",-79.0,,-62.0,,,,-72.0,,-49.0,636
"(3, 126)",,,-68.0,-46.0,,,-77.0,,-56.0,636
"(3, 126)",-88.0,-72.0,-53.0,,-86.0,-87.0,-77.0,-61.0,,636
"(3, 126)",,,,-70.0,,,-72.0,,-51.0,636
"(3, 126)",-72.0,-68.0,-47.0,-70.0,-78.0,,-66.0,-68.0,-52.0,636
"(3, 126)",,,,-48.0,,,,,,636
"(3, 126)",,-69.0,-54.0,-42.0,-75.0,-70.0,-72.0,-60.0,-54.0,636
"(3, 126)",,,-62.0,,,,-69.0,-66.0,-52.0,636
"(3, 126)",,-68.0,,-44.0,,,-83.0,-57.0,-53.0,636
"(3, 126)",,,-55.0,-65.0,,,-67.0,-62.0,-46.0,636
"(3, 126)",,,,,,,,,-53.0,636
"(3, 126)",-81.0,-72.0,-61.0,-41.0,-78.0,-74.0,-77.0,,-52.0,636
"(3, 126)",-84.0,-78.0,-63.0,-48.0,,,-70.0,-61.0,-60.0,636
"(3, 126)",,,,-46.0,,,,-73.0,-50.0,636
"(3, 126)",-74.0,-69.0,-65.0,-48.0,-76.0,,,-68.0,-57.0,636
"(3, 126)",,-71.0,,-43.0,-87.0,-86.0,-82.0,,-49.0,636
"(3, 126)",-71.0,-65.0,,-65.0,-78.0,-76.0,-69.0,,,636
"(3, 126)",,-74.0,-65.0,-47.0,,,-82.0,,-49.0,636
"(3, 126)",,-67.0,-55.0,-44.0,,,-75.0,-63.0,-51.0,636
"(3, 126)",,-79.0,-61.0,-53.0,-85.0,-89.0,-74.0,-57.0,-39.0,636
"(3, 126)",,,-57.0,-60.0,-69.0,-72.0,-70.0,,-50.0,636
"(3, 126)",-77.0,-65.0,-55.0,-40.0,-78.0,-76.0,-68.0,-56.0,-51.0,636
"(3, 126)",-80.0,-68.0,-66.0,-47.0,-76.0,-82.0,-76.0,-70.0,-61.0,636
"(3, 126)",-75.0,-58.0,-49.0,,-76.0,-79.0,,-63.0,-48.0,636
"(3, 126)",,,-60.0,,,,-72.0,-64.0,-57.0,636
"(3, 126)",,-71.0,-49.0,-46.0,,,-72.0,-62.0,-45.0,636
"(3, 126)",-65.0,,-50.0,-68.0,,-67.0,-67.0,-70.0,-46.0,636
"(3, 126)",-86.0,,-56.0,-47.0,-90.0,,-77.0,-68.0,-58.0,636
"(3, 126)",,-67.0,,-48.0,,,-70.0,-57.0,-43.0,636
"(3, 126)",,,-63.0,-46.0,,,,,-47.0,636
"(3, 126)",-76.0,-67.0,-67.0,,-76.0,-79.0,,,-63.0,636
"(3, 126)",,-67.0,,,,,,-70.0,-40.0,636
"(3, 126)",,,-67.0,-48.0,,,,,-57.0,636
"(3, 126)",-84.0,-68.0,-60.0,-43.0,-77.0,-75.0,-68.0,-60.0,-51.0,636
"(3, 126)",-86.0,-62.0,-65.0,-45.0,-76.0,,,-73.0,-60.0,636
"(3, 126)",-85.0,-75.0,-48.0,-45.0,-89.0,-88.0,-72.0,-63.0,-45.0,636
"(3, 126)",,-68.0,-49.0,,-71.0,,-66.0,,-52.0,636
"(3, 126)",-82.0,-69.0,-63.0,-44.0,-82.0,,-76.0,-67.0,-50.0,636
"(3, 126)",,-80.0,,-48.0,,,,,,636
"(3, 126)",,-65.0,-60.0,-62.0,,,-75.0,-59.0,,636
"(3, 126)",,,-58.0,-47.0,,,-75.0,,-59.0,636
"(3, 126)",,,-60.0,-44.0,,,-77.0,-67.0,-53.0,636
"(3, 126)",,-55.0,-51.0,-66.0,-68.0,-72.0,-74.0,,-48.0,636
"(3, 126)",,-68.0,-56.0,-48.0,,-75.0,-77.0,-65.0,,636
"(3, 126)",,,-62.0,,,,-76.0,,-53.0,636
"(3, 126)",,-76.0,-64.0,,,,-74.0,-68.0,-54.0,636
"(3, 126)",,-64.0,-63.0,-65.0,-68.0,-72.0,-65.0,-65.0,-50.0,636
"(3, 126)",,,-57.0,-44.0,,,-71.0,-75.0,-57.0,636
"(3, 126)",-78.0,-79.0,-55.0,-51.0,-82.0,,-73.0,-56.0,-40.0,636
"(3, 126)",-81.0,,-59.0,-48.0,,,-76.0,-69.0,-53.0,636
"(3, 126)",,,,-47.0,-84.0,-84.0,,,-54.0,636
"(3, 126)",-72.0,-66.0,-52.0,-60.0,-74.0,-78.0,,-70.0,-49.0,636
"(3, 126)",-90.0,,-50.0,-63.0,-88.0,,-73.0,,-44.0,636
"(3, 126)",,-68.0,-51.0,,,,-68.0,-61.0,-51.0,636
"(3, 126)",,-77.0,-64.0,,,,,-78.0,,636
"(3, 126)",,,,-43.0,,,,-68.0,,636
"(3, 126)",-67.0,-61.0,,,-71.0,,,,-45.0,636
"(3, 126)",-85.0,-70.0,,,-87.0,,-65.0,,-43.0,636
"(3, 126)",,,-56.0,-43.0,,,,,,636
"(3, 126)",,-66.0,,-65.0,,,-67.0,,-41.0,636
"(3, 126)",,-76.0,,-44.0,,,-78.0,-67.0,-54.0,636
"(3, 126)",,,-56.0,-60.0,,,-65.0,-70.0,-48.0,636
"(3, 126)",-78.0,,,-46.0,,,-80.0,-69.0,-51.0,636
"(3, 126)",-85.0,,-57.0,,,,,-68.0,-55.0,636
"(3, 126)",,-73.0,-63.0,-48.0,,,-81.0,-62.0,-58.0,636
"(3, 126)",-80.0,-65.0,-64.0,,-77.0,-76.0,-81.0,-72.0,-52.0,636
"(3, 126)",,-67.0,-63.0,,-72.0,-74.0,,,-46.0,636
"(3, 126)",-73.0,-70.0,-51.0,-67.0,-76.0,,-79.0,-71.0,-49.0,636
"(3, 126)",-81.0,-66.0,-60.0,-42.0,-78.0,-78.0,-68.0,-55.0,-54.0,636
"(3, 126)",,-74.0,-67.0,-48.0,,-85.0,-70.0,,-54.0,636
"(3, 126)",-69.0,-54.0,-49.0,-70.0,-75.0,-76.0,-74.0,-61.0,-52.0,636
"(3, 126)",,-67.0,-53.0,-60.0,,,-77.0,-59.0,,636
"(3, 126)",,-66.0,-62.0,-48.0,-78.0,,-73.0,-70.0,-59.0,636
"(3, 126)",-75.0,-56.0,-58.0,-60.0,-70.0,-69.0,-66.0,,-50.0,636
"(3, 126)",-83.0,-80.0,-60.0,-50.0,,,-79.0,-69.0,-58.0,636
"(3, 126)",,-68.0,-53.0,-62.0,-68.0,-70.0,,-63.0,,636
"(3, 126)",-81.0,-67.0,,-44.0,-73.0,-74.0,,-62.0,-53.0,636
"(3, 126)",-81.0,-70.0,-64.0,-45.0,-79.0,-78.0,-70.0,-67.0,-52.0,636
"(3, 126)",-80.0,-79.0,-60.0,-45.0,-89.0,,-83.0,-73.0,-50.0,636
"(3, 126)",-72.0,-68.0,-58.0,-64.0,-67.0,-71.0,-65.0,-63.0,-49.0,636
"(3, 126)",,-64.0,,-66.0,,,-64.0,,,636
"(3, 126)",-68.0,-68.0,-50.0,-63.0,-78.0,,-74.0,-83.0,-57.0,636
"(3, 126)",-80.0,-78.0,-54.0,-51.0,-87.0,-87.0,-74.0,-55.0,-40.0,636
"(3, 126)",-82.0,-74.0,-65.0,-48.0,-88.0,,-73.0,-61.0,-61.0,636
"(3, 126)",,,,-61.0,,,,-68.0,-60.0,636
"(3, 126)",-66.0,-68.0,-50.0,-62.0,-71.0,-74.0,-76.0,-66.0,-50.0,636
"(3, 126)",,,-65.0,,,,,,-50.0,636
"(3, 126)",,-66.0,-58.0,-46.0,,,,-61.0,-57.0,636
"(3, 126)",,,-59.0,-47.0,,,,-65.0,,636
"(3, 126)",-88.0,-77.0,-64.0,-46.0,,,-76.0,-66.0,-51.0,636
"(3, 126)",,,-52.0,-63.0,,,-68.0,-66.0,-50.0,636
"(3, 126)",-75.0,-64.0,-51.0,-62.0,-71.0,,-69.0,-61.0,-47.0,636
"(3, 126)",,-75.0,-74.0,-49.0,,,-72.0,-73.0,-55.0,636
"(3, 126)",,-76.0,-65.0,-45.0,,,-79.0,-64.0,-55.0,636
"(3, 126)",-80.0,-78.0,-61.0,-48.0,,-86.0,-79.0,-62.0,-53.0,636
"(3, 126)",,,-65.0,-44.0,,,-73.0,-71.0,-57.0,636
"(3, 126)",,-63.0,-57.0,-48.0,,,,,-55.0,636
"(3, 126)",,,-64.0,-48.0,-89.0,,-77.0,-69.0,-55.0,636
"(3, 126)",-77.0,-72.0,,-48.0,-75.0,-78.0,-72.0,,,636
"(3, 126)",-81.0,,-62.0,-73.0,,,-72.0,,-48.0,636
"(3, 126)",,-60.0,-59.0,-62.0,,-71.0,-70.0,-68.0,,636
"(3, 126)",,-75.0,,,-84.0,,-75.0,-63.0,-47.0,636
"(3, 126)",,-73.0,,-43.0,-88.0,,-75.0,-68.0,,636
"(3, 126)",,-73.0,,-47.0,,,,,-53.0,636
