tx_coord,receiver_0,receiver_1,receiver_2,receiver_3,receiver_4,receiver_5,receiver_6,receiver_7,receiver_8,class_label
"(7, 1)",-40.0,-44.0,-65.0,-81.0,-44.0,,-72.0,,-78.0,1191
"(7, 1)",-42.0,,-68.0,,-49.0,-57.0,-70.0,-76.0,,1191
"(7, 1)",-53.0,-54.0,-62.0,,-53.0,-55.0,-71.0,-67.0,-66.0,1191
"(7, 1)",-61.0,-64.0,-79.0,,-48.0,-67.0,-83.0,,-81.0,1191
"(7, 1)",,-48.0,,-79.0,,-54.0,-86.0,,,1191
"(7, 1)",,-62.0,,,-45.0,,-70.0,,,1191
"(7, 1)",-52.0,-71.0,-68.0,,-47.0,,-79.0,-77.0,-69.0,1191
"(7, 1)",,,,,-35.0,-64.0,,,,1191
"(7, 1)",-50.0,-58.0,-61.0,-79.0,-60.0,-58.0,-75.0,,-70.0,1191
"(7, 1)",,,,,-36.0,,,,,1191
"(7, 1)",-51.0,,,-77.0,-49.0,-54.0,-63.0,-65.0,-63.0,1191
"(7, 1)",-63.0,,,,,-63.0,-75.0,,-73.0,1191
"(7, 1)",-44.0,,,,-43.0,-57.0,-74.0,-70.0,-62.0,1191
"(7, 1)",-55.0,-70.0,,,-32.0,-66.0,-74.0,,,1191
"(7, 1)",,-51.0,-71.0,-76.0,-48.0,,-73.0,-65.0,-63.0,1191
"(7, 1)",-50.0,-57.0,-61.0,-73.0,-51.0,-68.0,,-74.0,-70.0,1191
"(7, 1)",-61.0,,,,-56.0,-58.0,,,,1191
"(7, 1)",-44.0,-69.0,-82.0,,-50.0,-66.0,,-78.0,,1191
"(7, 1)",,-70.0,-73.0,,-50.0,,,-79.0,-81.0,1191
"(7, 1)",-44.0,,-66.0,-78.0,-47.0,-56.0,-72.0,-68.0,-64.0,1191
"(7, 1)",-47.0,-72.0,-72.0,,-60.0,-64.0,-75.0,,-79.0,1191
"(7, 1)",-51.0,-59.0,-68.0,-82.0,-44.0,-54.0,,-65.0,-62.0,1191
"(7, 1)",-54.0,-61.0,-73.0,,-32.0,-64.0,-82.0,,,1191
"(7, 1)",,-57.0,-72.0,,,-59.0,-74.0,,-78.0,1191
"(7, 1)",,-64.0,,,-35.0,-64.0,-80.0,,-83.0,1191
"(7, 1)",,-61.0,,,-44.0,,-71.0,,-67.0,1191
"(7, 1)",-53.0,-64.0,,,-36.0,-61.0,-74.0,,,1191
"(7, 1)",-55.0,-62.0,-77.0,,-40.0,-58.0,,,,1191
"(7, 1)",-54.0,,-67.0,,-51.0,-57.0,,,-73.0,1191
"(7, 1)",-41.0,-48.0,-65.0,-79.0,-47.0,-55.0,-71.0,-75.0,-70.0,1191
"(7, 1)",-40.0,-57.0,-68.0,-75.0,-47.0,-63.0,-77.0,-72.0,,1191
"(7, 1)",-40.0,-55.0,-77.0,-81.0,-53.0,-57.0,-73.0,-72.0,,1191
"(7, 1)",-56.0,-59.0,-75.0,,-44.0,-62.0,-80.0,-78.0,-74.0,1191
"(7, 1)",-53.0,-60.0,-65.0,,-52.0,,,-72.0,,1191
"(7, 1)",,-55.0,-66.0,-74.0,-53.0,-56.0,-71.0,-74.0,-74.0,1191
"(7, 1)",,-61.0,-68.0,,-52.0,,,-68.0,-63.0,1191
"(7, 1)",,-63.0,,,-36.0,-62.0,,,,1191
"(7, 1)",-51.0,-56.0,,,-51.0,-54.0,-67.0,,,1191
"(7, 1)",-60.0,-63.0,-69.0,,-53.0,,-71.0,-81.0,-74.0,1191
"(7, 1)",-58.0,-70.0,,,-35.0,-65.0,-74.0,,,1191
"(7, 1)",-52.0,-58.0,-58.0,,,-53.0,-67.0,-65.0,-68.0,1191
"(7, 1)",,,-62.0,,-49.0,,-68.0,-70.0,-73.0,1191
