,x,ref_sensor,s57,s20,s54,s05,s34,s22,s06,s31,s36,s35
99,0.0,22,-51.0,,-67.0,-65.0,-78.0,-42.0,,-76.0,,
100,0.0,22,,,-65.0,-71.0,,,,-80.0,-79.0,-83.0
101,0.0,22,-52.0,-54.0,,-75.0,-81.0,-50.0,-53.0,-76.0,-74.0,-80.0
102,0.0,22,,-63.0,-70.0,-75.0,,-30.0,-66.0,-76.0,-78.0,
103,0.0,22,-45.0,,,,,-32.0,-63.0,,,
104,0.0,22,-64.0,-54.0,-70.0,-73.0,,-47.0,-59.0,-81.0,-80.0,
105,0.0,22,-48.0,-52.0,-63.0,,-74.0,-44.0,-59.0,,-81.0,-75.0
106,0.0,22,-48.0,-48.0,,,,-42.0,-54.0,,,-79.0
107,0.0,22,-49.0,-59.0,-53.0,-64.0,-81.0,-46.0,-55.0,-77.0,-71.0,-67.0
108,0.0,22,,-60.0,,,,-42.0,-57.0,-76.0,-80.0,-70.0
109,0.0,22,-56.0,-57.0,-71.0,-72.0,,-30.0,-54.0,-79.0,-83.0,
110,0.0,22,-56.0,-64.0,,,,-53.0,,,-74.0,
111,0.0,22,-65.0,-60.0,-65.0,-76.0,-79.0,-29.0,-56.0,,,-82.0
112,0.0,22,-56.0,,-64.0,-72.0,,-44.0,-58.0,-75.0,-71.0,-82.0
113,0.0,22,-51.0,-62.0,-57.0,,-69.0,-57.0,-61.0,,-74.0,-66.0
114,0.0,22,-60.0,-54.0,,,,-29.0,-66.0,,,
115,0.0,22,-62.0,-61.0,-56.0,-74.0,,,-53.0,-73.0,-72.0,-71.0
116,0.0,22,-53.0,-62.0,,-72.0,-70.0,-45.0,-57.0,-70.0,-71.0,-65.0
117,0.0,22,-45.0,-59.0,-58.0,-64.0,-80.0,-49.0,-66.0,-72.0,-74.0,-65.0
118,0.0,22,-59.0,-58.0,-64.0,,,-28.0,-62.0,-77.0,,-80.0
119,0.0,22,-37.0,-51.0,-62.0,-65.0,-80.0,-42.0,,-70.0,-72.0,-71.0
120,0.0,22,-68.0,-49.0,-63.0,-71.0,,,-58.0,-79.0,,-79.0
121,0.0,22,-46.0,-51.0,-60.0,-73.0,-84.0,-50.0,,-79.0,-78.0,-78.0
122,0.0,22,-61.0,-67.0,-65.0,-65.0,,-49.0,-64.0,-69.0,,-70.0
123,0.0,22,-42.0,-62.0,-71.0,,,-34.0,-64.0,-85.0,-83.0,-81.0
124,0.0,22,-51.0,-59.0,-69.0,-81.0,,,-69.0,,-82.0,
125,0.0,22,-40.0,-56.0,,-70.0,,-43.0,-59.0,-74.0,-74.0,
126,0.0,22,-51.0,-49.0,-61.0,,-73.0,-43.0,-58.0,-73.0,-77.0,-69.0
127,0.0,22,-41.0,,-69.0,-72.0,,-41.0,,-76.0,,-83.0
128,0.0,22,-57.0,-66.0,-72.0,-71.0,,,-60.0,-79.0,-78.0,-78.0
129,0.0,22,,-53.0,,-70.0,,,,-72.0,-85.0,-79.0
130,0.0,22,-47.0,-51.0,-66.0,,,-47.0,-60.0,-75.0,-79.0,-85.0
131,0.0,22,-55.0,-63.0,,,-74.0,,-54.0,,,-70.0
132,0.0,22,,,,-79.0,-75.0,-41.0,-65.0,-70.0,-69.0,-68.0
133,0.0,22,-50.0,-64.0,,-82.0,,,,,,-85.0
134,0.0,22,-58.0,-62.0,-52.0,-73.0,,-57.0,-57.0,-76.0,-77.0,-77.0
135,0.0,22,-53.0,,-54.0,-77.0,,-53.0,-62.0,-71.0,-80.0,
136,0.0,22,,-64.0,-65.0,-72.0,,-48.0,-65.0,-70.0,-76.0,-70.0
137,0.0,22,-70.0,-53.0,-69.0,-73.0,,-29.0,-61.0,-77.0,-82.0,
138,0.0,22,-53.0,-64.0,-66.0,-72.0,,-51.0,-65.0,-78.0,,
139,0.0,22,-60.0,,-62.0,-69.0,,-44.0,-56.0,,,-84.0
140,0.0,22,,-58.0,-57.0,-63.0,,-49.0,-58.0,-74.0,-73.0,
141,0.0,22,-56.0,-68.0,-55.0,-61.0,-73.0,-49.0,,,-75.0,-68.0
142,0.0,22,-55.0,-58.0,-55.0,-77.0,-78.0,-50.0,-62.0,-77.0,-82.0,-74.0
143,0.0,22,-50.0,,,-64.0,,,-63.0,-70.0,,-67.0
144,0.0,22,-62.0,-56.0,,,,,-65.0,-79.0,-76.0,
145,0.0,22,,,-69.0,-69.0,,-62.0,-60.0,-76.0,,-74.0
146,0.0,22,-46.0,-56.0,-57.0,-67.0,,-42.0,-57.0,-71.0,-70.0,-65.0
147,0.0,22,,-64.0,,,,-58.0,-61.0,-74.0,-78.0,-73.0
148,0.0,22,-57.0,-58.0,-69.0,,,-39.0,-63.0,-80.0,-76.0,
149,0.0,22,-49.0,-56.0,-66.0,-64.0,,,-56.0,-74.0,-71.0,
150,0.0,22,-54.0,,-57.0,-70.0,-77.0,-53.0,,,,
151,0.0,22,-61.0,-59.0,-54.0,-76.0,,-49.0,-60.0,-80.0,-72.0,-82.0
152,0.0,22,-40.0,-60.0,-59.0,-67.0,,-49.0,,-73.0,-71.0,-73.0
153,0.0,22,-53.0,-54.0,-60.0,-62.0,,-40.0,-59.0,,-73.0,-71.0
154,0.0,22,-41.0,-48.0,-55.0,-65.0,-78.0,-44.0,-54.0,-74.0,-77.0,
155,0.0,22,-57.0,,-55.0,,,,-57.0,-73.0,-79.0,-67.0
156,0.0,22,-59.0,-64.0,-65.0,-72.0,,-52.0,-62.0,-76.0,-76.0,-80.0
157,0.0,22,,-67.0,-63.0,-74.0,,-48.0,-54.0,,-72.0,
158,0.0,22,,-54.0,,,,,-58.0,-78.0,,-77.0
159,0.0,22,,-58.0,,-63.0,-78.0,-45.0,,-76.0,-72.0,-66.0
160,0.0,22,-74.0,-54.0,,-63.0,,-41.0,-57.0,-75.0,-77.0,-70.0
161,0.0,22,-48.0,-48.0,-58.0,-67.0,,-47.0,-60.0,-69.0,-78.0,-72.0
162,0.0,22,,-48.0,,,-78.0,-47.0,,,,
163,0.0,22,-49.0,-57.0,-52.0,-60.0,,-47.0,-49.0,-71.0,-76.0,-65.0
164,0.0,22,-66.0,-60.0,-64.0,-72.0,,,-53.0,,,-71.0
165,0.0,22,-47.0,-59.0,-55.0,,,-43.0,-55.0,-77.0,-74.0,-62.0
166,0.0,22,-65.0,-54.0,-66.0,-74.0,,-31.0,-56.0,,,
167,0.0,22,-46.0,-57.0,-52.0,-61.0,-71.0,-56.0,-53.0,-71.0,,
168,0.0,22,,-54.0,-70.0,,,,,-80.0,-82.0,
169,0.0,22,-45.0,-47.0,-56.0,-71.0,,-42.0,,-74.0,-74.0,-78.0
170,0.0,22,,-62.0,-61.0,-62.0,,,,-71.0,-72.0,-69.0
171,0.0,22,-59.0,-64.0,-56.0,-75.0,,-47.0,-54.0,,-74.0,-70.0
172,0.0,22,-49.0,-64.0,-51.0,-59.0,-75.0,-45.0,-46.0,-75.0,-70.0,
173,0.0,22,-58.0,-66.0,-63.0,-72.0,,-57.0,-59.0,-86.0,-78.0,-73.0
174,0.0,22,-50.0,-44.0,-58.0,-65.0,,-46.0,-67.0,-67.0,-75.0,
175,0.0,22,-59.0,-62.0,-69.0,-65.0,-79.0,-52.0,-58.0,-71.0,-81.0,-66.0
176,0.0,22,,,-60.0,-73.0,-81.0,-46.0,-61.0,-72.0,,-67.0
177,0.0,22,,-62.0,-58.0,-78.0,,-51.0,-62.0,-70.0,-73.0,-75.0
178,0.0,22,-47.0,,,,-80.0,-47.0,-57.0,,,-78.0
179,0.0,22,-48.0,,-57.0,,,-58.0,-60.0,-72.0,-72.0,-64.0
180,0.0,22,-43.0,-45.0,,,,,-56.0,,,
181,0.0,22,-54.0,-62.0,-65.0,-69.0,,-53.0,-61.0,-76.0,,-75.0
182,0.0,22,-54.0,-65.0,-57.0,-66.0,,-47.0,-60.0,-70.0,-77.0,-68.0
183,0.0,22,-43.0,-48.0,-57.0,-65.0,,-45.0,-63.0,-77.0,-69.0,
184,0.0,22,-43.0,,,-67.0,,-47.0,-62.0,-72.0,-77.0,-75.0
185,0.0,22,-53.0,-47.0,,-70.0,,-49.0,,,-78.0,
186,0.0,22,-46.0,-54.0,-66.0,-65.0,-78.0,-45.0,-53.0,-73.0,-72.0,-64.0
187,0.0,22,,-53.0,-67.0,-67.0,-68.0,-44.0,-58.0,-75.0,-82.0,-65.0
188,0.0,22,-68.0,,-59.0,-70.0,,-54.0,-56.0,-80.0,,-74.0
189,0.0,22,-56.0,-59.0,,-68.0,-72.0,,-59.0,,,-69.0
190,0.0,22,-49.0,-59.0,-60.0,-61.0,-78.0,-57.0,-55.0,-70.0,-75.0,-68.0
191,0.0,22,-63.0,-62.0,-74.0,-66.0,,-54.0,-56.0,-76.0,,-74.0
192,0.0,22,-58.0,-55.0,-56.0,-72.0,-77.0,-53.0,-62.0,-70.0,-81.0,-75.0
193,0.0,22,-42.0,-55.0,-61.0,-72.0,-78.0,,-67.0,-73.0,-79.0,-82.0
194,0.0,22,-58.0,-66.0,-59.0,-64.0,,-49.0,-67.0,-74.0,-77.0,-85.0
195,0.0,22,-58.0,-65.0,-62.0,-71.0,,-51.0,,-71.0,-75.0,-66.0
196,0.0,22,-59.0,-53.0,-59.0,-66.0,,-56.0,-54.0,-75.0,-81.0,-68.0
197,0.0,22,-54.0,-60.0,-68.0,-72.0,,-53.0,-65.0,,-86.0,-73.0
198,0.0,22,-49.0,-61.0,,,,-31.0,-65.0,,,
199,0.0,22,-60.0,-57.0,-67.0,-78.0,,-52.0,-57.0,,,-80.0
200,0.0,22,-49.0,-49.0,-60.0,-69.0,-75.0,-43.0,-56.0,-69.0,-78.0,-67.0
201,0.0,22,-52.0,-57.0,-64.0,-64.0,,-50.0,-62.0,-70.0,-72.0,-66.0
202,0.0,22,-66.0,-57.0,,-70.0,,-51.0,-57.0,-72.0,-76.0,-77.0
203,0.0,22,,,,-65.0,,,,,-73.0,-63.0
204,0.0,22,-41.0,-50.0,-60.0,-67.0,,-46.0,-56.0,-75.0,-77.0,-73.0
205,0.0,22,-44.0,-53.0,,,,-44.0,-54.0,,,-77.0
